tsne_x,tsne_y,method,family
-55.865685,-3.899066,Original,Original
-29.664299,14.123897,Original,Original
-36.954704,26.667345,Original,Original
10.759354,10.713684,Original,Original
21.142618,8.967056,Original,Original
-43.120125,-24.949324,Original,Original
-56.456955,-1.8334304,Original,Original
-29.215172,16.542528,Original,Original
-35.250877,28.444782,Original,Original
-33.340794,27.768215,Original,Original
-11.1656475,38.039486,Original,Original
-9.485389,38.75399,Original,Original
-7.9177356,38.086586,Original,Original
5.9144135,29.615623,Original,Original
5.819497,28.829506,Original,Original
6.619958,28.268333,Original,Original
6.497424,27.195524,Original,Original
7.2081776,25.38329,Original,Original
8.020785,23.399485,Original,Original
21.55558,1.2490839,Original,Original
23.235397,-3.5740507,Original,Original
23.423542,-6.1290975,Original,Original
22.781637,-8.727906,Original,Original
8.942445,-22.53228,Original,Original
1.3086188,-19.903238,Original,Original
-20.146135,9.380381,Original,Original
-20.106722,10.753983,Original,Original
-19.60127,12.59665,Original,Original
-18.5938,14.559412,Original,Original
-17.054893,15.839447,Original,Original
-13.73819,18.282467,Original,Original
-11.8264065,18.887177,Original,Original
-9.461681,19.432346,Original,Original
-6.6040163,20.064919,Original,Original
-3.4280019,20.31601,Original,Original
-1.4437354,19.874977,Original,Original
0.25919026,19.375683,Original,Original
1.6255618,17.90938,Original,Original
18.793932,-5.428137,Original,Original
19.291264,-6.981362,Original,Original
19.142157,-8.519324,Original,Original
10.421903,-28.973751,Original,Original
9.038854,-29.880093,Original,Original
7.183055,-30.638687,Original,Original
-39.388004,-20.373346,Original,Original
-51.33801,-2.7210083,Original,Original
-21.739723,15.422198,Original,Original
-20.261177,16.322123,Original,Original
-16.242954,18.596153,Original,Original
-12.376709,21.190672,Original,Original
-10.942107,21.878437,Original,Original
-8.461006,22.860718,Original,Original
-6.028385,23.26453,Original,Original
-4.9182024,23.804924,Original,Original
-3.7936833,23.346292,Original,Original
-2.860228,23.647009,Original,Original
5.6575003,18.02606,Original,Original
7.081534,16.81723,Original,Original
8.893285,16.699295,Original,Original
27.883392,-4.562165,Original,Original
28.017933,-7.2021523,Original,Original
23.420097,-13.722309,Original,Original
8.523303,-19.74373,Original,Original
-0.39461505,-18.329212,Original,Original
-19.355175,-4.79355,Original,Original
-27.246714,-4.083789,Original,Original
-32.833202,-0.31286502,Original,Original
-34.81327,5.471918,Original,Original
-13.738658,6.523578,Original,Original
-18.575638,26.220856,Original,Original
-18.016483,38.590225,Original,Original
-7.687984,43.810726,Original,Original
2.312262,42.379944,Original,Original
9.293329,33.997833,Original,Original
17.270609,24.098866,Original,Original
28.876688,33.304695,Original,Original
38.141125,15.394576,Original,Original
42.209526,1.7967259,Original,Original
46.077595,-7.442469,Original,Original
36.248707,-24.329517,Original,Original
18.42308,-33.564106,Original,Original
10.7939205,-42.016815,Original,Original
3.9594584,-32.73639,Original,Original
-40.85803,-21.437914,Original,Original
-53.529778,-3.0566456,Original,Original
-25.962732,14.892409,Original,Original
-11.662178,-45.87863,GT-GAN,Generative AI
-18.549936,-19.51214,GT-GAN,Generative AI
-11.909201,-45.759293,GT-GAN,Generative AI
-13.302998,-45.649307,GT-GAN,Generative AI
-17.902718,-20.42555,GT-GAN,Generative AI
-18.694878,-28.777597,GT-GAN,Generative AI
-15.573871,-38.511036,GT-GAN,Generative AI
-18.346882,-20.519201,GT-GAN,Generative AI
-13.764264,-45.30311,GT-GAN,Generative AI
-14.459226,-42.472183,GT-GAN,Generative AI
-12.291707,-42.386707,GT-GAN,Generative AI
-12.045851,-45.379646,GT-GAN,Generative AI
-14.165331,-38.980835,GT-GAN,Generative AI
-14.005708,-39.475735,GT-GAN,Generative AI
-19.572552,-20.705173,GT-GAN,Generative AI
-13.192544,-47.004032,GT-GAN,Generative AI
-12.414015,-47.51191,GT-GAN,Generative AI
-13.36107,-41.673374,GT-GAN,Generative AI
-13.08074,-47.144108,GT-GAN,Generative AI
-19.335094,-21.559914,GT-GAN,Generative AI
-18.71496,-28.398539,GT-GAN,Generative AI
-12.366452,-43.023964,GT-GAN,Generative AI
-13.474149,-40.05377,GT-GAN,Generative AI
-14.261944,-41.888054,GT-GAN,Generative AI
-15.2019,-38.651196,GT-GAN,Generative AI
-12.248487,-47.30103,GT-GAN,Generative AI
-17.77481,-20.157305,GT-GAN,Generative AI
-17.888401,-20.158543,GT-GAN,Generative AI
-18.595001,-29.613352,GT-GAN,Generative AI
-16.350847,-36.161922,GT-GAN,Generative AI
-12.6537,-47.235874,GT-GAN,Generative AI
-18.570677,-29.76325,GT-GAN,Generative AI
-14.041778,-39.383762,GT-GAN,Generative AI
-13.546115,-41.394043,GT-GAN,Generative AI
-19.155685,-20.506939,GT-GAN,Generative AI
-18.28411,-20.22287,GT-GAN,Generative AI
-14.080575,-39.509884,GT-GAN,Generative AI
-15.169037,-38.432537,GT-GAN,Generative AI
-18.61127,-29.523453,GT-GAN,Generative AI
-13.167469,-46.37922,GT-GAN,Generative AI
-17.170086,-35.737152,GT-GAN,Generative AI
-13.50277,-41.482502,GT-GAN,Generative AI
-13.167334,-45.07661,GT-GAN,Generative AI
