method,n_real,n_generated,mean_abs_diff,std_abs_diff,corr_abs_diff
GT-GAN,247,1000,0.7875417470932007,0.3352895975112915,0.4509760523146788
Diffusion,247,1000,0.10978055000305176,0.29772844910621643,0.3558723894318729
Masking GT-GAN,247,1000,0.003390380647033453,0.000555014587007463,0.001185176740124465
Masking Diffusion,247,1000,0.011098567396402359,0.011542153544723988,0.011257995141634013
