method,family,mean_radial_distance,median_radial_distance,radial_distance_ratio,n
GT-GAN,Generative AI,42.89174710333505,44.83482377607614,1.2751554811204495,247
Diffusion,Generative AI,5.511575430795705,5.124043634584678,0.16385706096922956,247
Masking GT-GAN,Generative AI,34.12538408574008,34.46487451116365,1.0145348114973032,247
Masking Diffusion,Generative AI,34.45343706332184,33.89695080748773,1.0242877029207618,247
Time warping,Transformation,33.73398251006658,33.06904660284191,1.0028985901203373,247
Magnitude warping,Transformation,34.0238625678208,34.94845964084563,1.0115166150196788,247
Noise injection,Transformation,33.930474428800224,33.21671317038103,1.0087402208323115,247
Frequency domain,Transformation,33.774487194262555,33.50413621361112,1.004102779120592,247
Comprehensive,Transformation,34.39042848213095,32.05703982776752,1.0224144815416087,247
