method,augmentation_family,augmentation_count,normal_train_used,real_anomaly_seed_used,augmented_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,false_negative,false_positive,filtering_strength,anomaly_radius_multiplier,normal_radius_multiplier,within_anomaly_range_threshold,candidate_count,candidate_ratio,fallback_used,selected_count,selected_quality_mean,selected_dist_to_anomaly_mean,selected_dist_to_normal_mean,selected_within_anomaly_range_mean
Filtered Masking Diffusion (default),generative_filtered,750,5000,247,750,997,5.015045135406218,0.8599999999999999,0.9166666666666666,0.6707317073170732,0.7746478873239436,0.7087628865979382,0.8910505836575876,0.7736486486486487,0.8282097649186256,0.794587092297016,0.9893420350332378,0.9276458444926771,67,28,default,1.25,0.75,0.9,1000,1.0,False,750,4.108110518773397,12.535622596740723,13.287466049194336,1.0
Filtered Masking Diffusion (loose),generative_filtered,750,5000,247,750,997,5.015045135406218,0.83,0.8079470198675497,0.7439024390243902,0.7746031746031746,0.7558859975216853,0.8489932885906041,0.8547297297297297,0.8518518518518519,0.8535762483130904,0.9920022805570382,0.9388667940765553,43,45,loose,1.5,0.5,0.8,1000,1.0,False,750,4.108110518773397,12.535622596740723,13.287466049194336,1.0
Filtered Masking Diffusion (strict),generative_filtered,750,5000,247,750,997,5.015045135406218,0.8699999999999999,0.8636363636363636,0.6951219512195121,0.7702702702702703,0.7233502538071066,0.8816793893129771,0.7804054054054054,0.8279569892473119,0.7987551867219918,0.9847081372216022,0.9070420649570574,65,31,strict,1.0,1.0,0.95,812,0.812,False,750,4.0824447402954105,12.601758003234863,13.368406295776367,1.0
Filtered Masking Diffusion (default),generative_filtered,1000,5000,247,1000,1247,4.0096230954290295,0.8899999999999999,0.9145299145299145,0.6524390243902439,0.7615658362989324,0.6921086675291074,0.9333333333333333,0.6621621621621622,0.7747035573122529,0.703012912482066,0.9870141685671308,0.9092880367628492,100,14,default,1.25,0.75,0.9,1000,1.0,False,1000,3.749764715194702,12.853853225708008,13.207236289978027,1.0
Filtered Masking Diffusion (loose),generative_filtered,1000,5000,247,1000,1247,4.0096230954290295,0.8999999999999999,1.0,0.6463414634146342,0.7851851851851852,0.6955380577427821,0.994535519125683,0.6148648648648649,0.7599164926931107,0.6656912948061449,0.9922364015721286,0.9419480396895383,114,1,loose,1.5,0.5,0.8,1000,1.0,False,1000,3.749764715194702,12.853853225708008,13.207236289978027,1.0
Filtered Masking Diffusion (strict),generative_filtered,1000,5000,247,1000,1247,4.0096230954290295,0.8599999999999999,0.9,0.7134146341463414,0.7959183673469388,0.7442748091603053,0.9038461538461539,0.793918918918919,0.8453237410071942,0.8137119113573407,0.9900322674559658,0.9326228933227082,61,25,strict,1.0,1.0,0.95,812,0.812,True,1000,3.749764715194702,12.853853225708008,13.207236289978027,1.0
