method,augmentation_family,augmentation_count,normal_train_used,real_anomaly_seed_used,augmented_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,false_negative,false_positive,masking_ratio,filtering_strength,temporal_block_ratio,feature_group_ratio,candidate_count,candidate_ratio,fallback_used,selected_count,selected_quality_mean,selected_dist_to_anomaly_mean,selected_dist_to_normal_mean,selected_within_anomaly_range_mean
Filtered Masking Diffusion (default mask),generative_filtered_mask_ratio,750,5000,247,750,997,5.015045135406218,0.8599999999999999,0.8,0.6829268292682927,0.7368421052631579,0.7035175879396985,0.8646616541353384,0.777027027027027,0.8185053380782918,0.7931034482758621,0.9881350380901547,0.9112115954089157,66,36,default,loose,0.25,0.4,1000,1.0,False,750,4.103092615127563,12.646364212036133,13.498916625976562,1.0
Filtered Masking Diffusion (large mask),generative_filtered_mask_ratio,750,5000,247,750,997,5.015045135406218,0.8599999999999999,0.9354838709677419,0.7073170731707317,0.8055555555555556,0.7435897435897436,0.9557522123893806,0.7297297297297297,0.8275862068965517,0.7659574468085106,0.9908122664855161,0.941392508044574,80,10,large,loose,0.35,0.6,1000,1.0,False,750,4.092619742075602,12.67664623260498,13.538531303405762,1.0
Filtered Masking Diffusion (small mask),generative_filtered_mask_ratio,750,5000,247,750,997,5.015045135406218,0.8899999999999999,0.9902912621359223,0.6219512195121951,0.7640449438202247,0.6719367588932806,0.9806763285024155,0.6858108108108109,0.8071570576540755,0.7296908698777858,0.9911410063564463,0.9365238723402498,93,4,small,loose,0.15,0.2,1000,1.0,False,750,4.136579841613769,12.594491004943848,13.462141036987305,1.0
